topic,temperature,winning_mode,comparison_type,neutral_scores,multiagent_scores
illegal_immigration,0.2,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 7.666666666666667, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
illegal_immigration,0.4,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
illegal_immigration,0.6,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 7.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 7.666666666666667}"
illegal_immigration,0.8,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 7.333333333333333}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
illegal_immigration,1.0,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 8.333333333333334, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 7.0, 'Perspective Coverage': 8.0}"
gun_violence,0.2,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 10.0, 'Perspective Coverage': 9.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
gun_violence,0.4,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 7.666666666666667, 'Perspective Coverage': 9.333333333333334}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
gun_violence,0.6,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
gun_violence,0.8,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.666666666666666}"
gun_violence,1.0,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 10.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 10.0, 'Perspective Coverage': 9.0}"
abortion,0.2,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.666666666666666, 'Perspective Coverage': 8.666666666666666}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
abortion,0.4,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 10.0, 'Perspective Coverage': 9.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.666666666666666, 'Perspective Coverage': 8.666666666666666}"
abortion,0.6,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 10.0, 'Perspective Coverage': 9.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
abortion,0.8,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
abortion,1.0,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
economy,0.2,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
economy,0.4,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 7.0}"
economy,0.6,neutral_only,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 10.0, 'Perspective Coverage': 9.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
economy,0.8,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
economy,1.0,multiagent,cross-mode,"{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}","{'Completeness': 9.0, 'Conciseness': 8.0, 'Clarity': 9.0, 'Perspective Coverage': 8.0}"
